question,label
"how's the company doing, give me a summary",overview
who played in the last super bowl,unclear
is there seasonality in website traffic,trend
can you elaborate on this chart's findings,explain
identify abnormalitys in the database,anomaly
display the top 3 items with the most sales,top_bottom
i dont understand whats bein shown,explain
can you show the raw dataset,raw_data
can you predict the sales figures for q1 next year?,forecast
show me only category a items,refinement
time series analysis of sales data,trend
how do i make sense of this data,explain
what caused the boost,root_cause
data that doesnt follow the trend,anomaly
can you provide a top level overview of our results,overview
what caused the downturn,root_cause
estimate the sales for the next quarter based on historical data,forecast
"last quarter, thats all",refinement
meaning of life,unclear
do aliens exist or somethin,unclear
clear out all the filters,refinement
projection of profit for next fiscal year,forecast
"you too, have a great one",smalltalk
worst sales peoples,top_bottom
can you clarify whats going on in this graph,explain
give me a sample of the raw data,raw_data
forecasting the revenue for 2027 and 2028,forecast
looking for unusual patterns,anomaly
i need to find the anomalies,anomaly
excluding japan,refinement
what are the outliers in this data,anomaly
display abnormal data points,anomaly
revenue growth over time,trend
dependency between measures,correlation
clear filter settings,refinement
time series analysis of website usage,trend
hi there,smalltalk
show without september,refinement
display the underlying dataset,raw_data
looking forward to seeing you,smalltalk
insightful observations from the research,insights
can i get a high level overview?,overview
compare sales by month for last 5 years,trend
causal factors of the rise,root_cause
can you explain this in simpler terms,explain
last quarter is what i need,refinement
growth rate year by year,trend
next years projected revenue,forecast
rank brands by sales,top_bottom
how does this dashboard work,explain
show me the correlation between different data points,correlation
what are the anomalous values,anomaly
break it down into smaller pieces,explain
rank from worst to best,top_bottom
what are the projected earnings for q2?,forecast
can you provide a brief overview of our progress?,overview
hope everythin goes well,smalltalk
can you show me whats unique,insights
show a sample of the data,raw_data
average monthly increase in subscriptions,trend
how is everything going in general,overview
what's the one thing i should know?,insights
reasons for the recent spike,root_cause
what are the key indicators i should be looking at?,overview
"it was great talking to you, bye",smalltalk
show karnataka info,refinement
can you give me a simple explanation,explain
what's the sales trend like by month,trend
how come sales have been dropping lately?,root_cause
what will our order volume be in 2025,forecast
"rank the products with the highest amount, give me the top 3",top_bottom
what's the trendline look like,trend
forecasting the demand for our products in 2024,forecast
describe the trends you see,explain
i need a song written,unclear
what's the relationship between these two variables?,correlation
filters should be empty,refinement
i'm really grateful,smalltalk
why has amount been fluctuating,root_cause
give me the lowdown on this,insights
can you shed some light on this,explain
which regions are at the bottom,top_bottom
summarise the data,overview
projection of the company's future performance,forecast
"youre welcome, anytime",smalltalk
do you like pineapple on pizza,unclear
anything notable to know,insights
can you explain the surge,root_cause
how much do boxes shipped affect amount shipped,correlation
can you show me the connection between units and revenue,correlation
what does this report mean,explain
i need a simple explanation of what this dashboard is showing,explain
who is the president,unclear
filter returns off,refinement
what are the key drivers of correlation in this dataset?,correlation
key takeaways,insights
what are some key findings,insights
show me the raw data please,raw_data
can you diagnose the reason for the drop,root_cause
what time do clocks strike,unclear
examine reasons for revenue decrease,root_cause
what am i looking at,explain
can i see the underlying table,raw_data
find data thats off the charts,anomaly
what factors affect revenue,correlation
is it possible to communicate with animals,unclear
give me some highlights,insights
what are the key takeaways,insights
can you explain the rules of chess,unclear
unusual peaks in our dashboard,anomaly
why did we see a surge in sales,root_cause
projected revenue for the next fiscal year,forecast
i dont have a watch whats the time,unclear
rank regions by revenue from smallest to largest,top_bottom
only electronic products,refinement
"i'm looking for correlated variables, can you help?",correlation
can you give me a rundown of this graph,explain
do you like reading books,unclear
identify data anomalies,anomaly
how are we doing overall,overview
"take care, bye",smalltalk
show me the top performing regions,top_bottom
how come our sales are falling?,root_cause
how's the company doing at the moment,overview
how do external factors impact our sales numbers?,correlation
whats the correlation between website traffic and conversion,correlation
current year filter,refinement
"i'm not sure what i'm looking at, can you clarify?",explain
show me the best and worst products by sales,top_bottom
give me a rundown of this dashboard,explain
show a few rows,raw_data
are there any values that are way off,anomaly
can you highlight something worth knowing,insights
what's the trend of cost by year,trend
who are the top 3 worst clients,top_bottom
detect spikes in the data,anomaly
nice one,smalltalk
unusual data point detection,anomaly
future sales predictions,forecast
i wish you a great day ahead,smalltalk
what's the biggest surprise,insights
what triggered the uptick,root_cause
can someone tell me whats going on,explain
data anomaly identification,anomaly
afternoon,smalltalk
"i'm confused, can you clarify this graph",explain
can i c the first 100 rows,raw_data
tell me about your weekend,unclear
gr8 day isnt it,smalltalk
can you tell me y orders hav fallen,root_cause
why isnt revenue growing,root_cause
whats the time in london right now,unclear
give me the yearly trend,trend
is there anything that stands out,insights
projected sales for next year?,forecast
"you're welcome, bye",smalltalk
hiya,smalltalk
show me the historical trend,trend
dump the data,raw_data
what's the current perfomance trends,overview
can you give me a quick rundown,overview
sales trend - is it going up or down,trend
can you make me smile,unclear
show just 2024,refinement
monthly flucuations in stock prices,trend
show me the bottom 10 worst products,top_bottom
what data points are considdered outliers,anomaly
who r the best sales ppl,top_bottom
what is the sales trend over time,trend
can you plot sales data by season,trend
what is the best way to make a peanut butter and jelly sandwich,unclear
key observations from the study,insights
anything intresting to note,insights
can you explain the plot of inception,unclear
anything interesting to note,insights
can you tell me whats going on in the dataset,insights
"next quarter sales forecast, can you show me the numbers?",forecast
"nice one, great to meet you",smalltalk
projections for the next fiscal year,forecast
got any humor to share,unclear
what's the point of this chart,explain
measure growth by season,trend
unusual patterns,anomaly
annual sales pattern,trend
provide a top level summary,overview
find the values that dont fit the trend,anomaly
whats the main thing i should take away,insights
what does the raw table look like,raw_data
browse the data,raw_data
rank our customers from best to worst,top_bottom
need a summary of all metrics,overview
give me a summary of the key findings,insights
show me only 2024 data,refinement
it was good talking to you,smalltalk
provide a company wide snapshot,overview
show me the data sample,raw_data
get rid of all the filters,refinement
anticipated orders for the next 18 months,forecast
give me insights,insights
what is the driver of the price quantity relationship,correlation
weekly sales pattern,trend
the 5 lowest ranked,top_bottom
what's the predicted value of the metric next quarter,forecast
which customers have the worst 5 sales records,top_bottom
show me how our revenue changes by month,trend
whats the predicted revenue for q2,forecast
what lead to the improvement,root_cause
i want to see the whole picture,overview
hi how are you,smalltalk
how do orders change over time,trend
notable findings,insights
what's the link between price and quantity,correlation
rank the bottom 5 by sales,top_bottom
i'm looking for a brief summary of our busness,overview
show me the major milestones,overview
can you give me some insight into this graph,explain
give an overview of our perfomance,overview
can you display all the data,raw_data
what are the top line numbers,overview
i'm not sure what to make of this,explain
do not display japan,refinement
add the electronics category,refinement
what does the overall data say,overview
how are we doing overall?,overview
prediction for the next 12 months,forecast
how's everything going?,overview
whats the current situation?,overview
rank categories by sales: bottom 10,top_bottom
what will the sales be like next year,forecast
what's the main takeaway from this report,explain
i need help understanding the trends,explain
just last year and this year,refinement
why did amount change recently,root_cause
quarterly trend,trend
explain why order volume has decreased,root_cause
time series analysis of stock prices,trend
units vs revenue: whats the correlation,correlation
how was your day so far?,smalltalk
drivers of change in the data,correlation
what am i looking at here,explain
what are the main metrics i should be looking at?,overview
what drives the correlation between these two measures?,correlation
underperforming products,top_bottom
can you filter by electronics,refinement
now only karnataka please,refinement
what is the correlation between price and quantity sold,correlation
i need help understanding this visual,explain
find the top 20 products with the highest sales figures,top_bottom
what are the key metrics i should know?,overview
nite,smalltalk
give me an overview of our current performance,overview
what stands out,insights
why did it go down,root_cause
executive summary please,overview
time series sales analysis,trend
remove japan from results,refinement
can someone explain stuff,unclear
can you break down the data for me?,explain
can i get a recipe,unclear
can you give me some interesting facts,insights
what contributted to the rise,root_cause
what color is the sky on a sunny day,unclear
can you explain this chart to me,explain
what's the trend of website traffic by month,trend
show me some interesting trends,insights
forecasting revenue for the next 3 years,forecast
amount vs boxes shipped: what's the correlation,correlation
can you show me the overall trend?,overview
what's the most notable thing here,insights
status report,overview
reset to india,refinement
what's the correlation like between these two variables?,correlation
uncover the reason for revenue drop,root_cause
flag unusual values,anomaly
what was the catalyst for the growth,root_cause
give me the high level view,overview
what's the general outlook,overview
can someone shed some light on these statistics?,explain
how do quantity and price affect each other,correlation
now show karnataka,refinement
which salesperson makes the most money,top_bottom
only india data,refinement
what stands out in the data,insights
what are the bottom 5 products by profit,top_bottom
reset all filter settings,refinement
how's the trend been so far this year,trend
who are the least successful,top_bottom
i wanna see the raw rows,raw_data
whats the deal with jokes anyway,unclear
give me a sales forecast for the next year,forecast
l8r,smalltalk
how's the company doing overall?,overview
list the best 5 cities by highest average salary,top_bottom
need an overview of our current performance,overview
what's the current state of our company?,overview
howdy,smalltalk
can you explain how to ride a bike,unclear
products ranked by sales performance,top_bottom
"hey, whats going on",smalltalk
what is the expected sales growth for next year,forecast
what are the main highlights?,overview
give me the top 8 countries with the most forests,top_bottom
pattern of sales over the years,trend
what's notable in the latest reports,insights
what is driving the upward trend,root_cause
display the sample,raw_data
investigate the cause of the shift,root_cause
show me the spikes in the data,anomaly
what are the underlying dependencies between business metrics,correlation
forecasting sales for the next fiscal year,forecast
largest 3 accounts,top_bottom
should i wear shorts,unclear
find the bottom 10% of sales reps,top_bottom
what's the underlying cause of the growth,root_cause
show raw rows,raw_data
is sales increasin over time,trend
give me a rundown of what im seeing here,explain
current year,refinement
stuff thats worth knowing about the market,insights
can you give me some insight,insights
can you show the original data,raw_data
give a general outline,overview
filter by karnataka,refinement
"give me the 10,000 foot view",overview
whats the point of askin questions,unclear
can u show me the top 25 products by earnings?,top_bottom
what's the current status of our operations,overview
3 largest accounts pls,top_bottom
can u forecast the revenue for next yr,forecast
find the values that stick out,anomaly
can you show me whats worth knowing?,insights
goodnight and sweet dreams,smalltalk
get me electronics stuff,refinement
how much will we make in 2029,forecast
how have you been,smalltalk
can you show the data dump,raw_data
lets talk about sports,unclear
what's the significance of this plot,explain
find unusual spikes in data,anomaly
what is the best movie ever,unclear
do u have a clock,unclear
how's it lookin outside,unclear
estimated revenue for the coming quarter,forecast
anything stand out to you,insights
show me the orginal table,raw_data
what are we looking at here,explain
unapply all filters,refinement
display yearly trend of user engagement,trend
"hey, hows life treating you",smalltalk
what is behind the growth,root_cause
provide context for the figures,explain
"orders are down, whats the reason",root_cause
projecting future order growth,forecast
do you like pineapple pizza,unclear
what's the best type of music,unclear
growth over the past year,trend
what time is it,unclear
noteworthy trends or observations,insights
have a good day,smalltalk
can u explain somethin to me,unclear
yearly and quarterly fluctuations,trend
show me the unprocessed data,raw_data
i dont want to see returns,refinement
how do different measures relate to each other,correlation
what drives sales,correlation
show me the executive summary,overview
identify root cause of revenue fall,root_cause
what's the story behind this plot?,explain
can you provide context for this data,explain
can you highlight something interesting,insights
i owe you one,smalltalk
can you summarize our perfomance in a nutshell,overview
only for last quarter,refinement
show me the table and all its columns,raw_data
whats the big picture here,insights
which regions are performing the worst?,top_bottom
identify abnormal patterns,anomaly
is there a link between these numbers,correlation
why did it go up so much,root_cause
show me the trend of sales over time,trend
what's the best way to learn spanish,unclear
write me a poem,unclear
yearly trend of customer purchases,trend
what is the meaning of life,unclear
what's the quarterly trend of server requests,trend
what's interesting about this information?,insights
only cat a,refinement
show me the dependencies between metrics,correlation
what was the differece last year,refinement
show the top and bottom 3 brands,top_bottom
forecast revenue for the next 6 months,forecast
what are the bottom performing regions so far,top_bottom
i want to see a high level summary of our perfomance,overview
orders trend from month to month,trend
is ther a strong correlation between sales and advertising spend?,correlation
what's the expected sales amount for next quarter?,forecast
how r things with you?,smalltalk
revenue ranking from top to bottom,top_bottom
show me the top line numbers,overview
can you forecast the next 3 quarters of revenue,forecast
list the top 3 regions with the smallest revenue,top_bottom
i dont understand anythin,unclear
compare this year's sales to last year's,trend
how do amount and boxes shipped relate to each other,correlation
go back to original data,refinement
i dont understand whats being shown here,explain
orders per month trend,trend
get me the source data,raw_data
can you translate this chart into something easier to understand?,explain
can you sumarize our perfomance,overview
what's the trend of sales by region over time,trend
what salesperson has the lowest sales,top_bottom
what's the abnormal data point,anomaly
finding glitchs in the data,anomaly
walk me thru this visualization,explain
pinpoint weird data,anomaly
why the sudden change in amount,root_cause
can you support me,unclear
whats the deal with that,unclear
key takeaways from the report,insights
the 10 best by amount,top_bottom
can you show me the dashboard?,overview
historical trend of user engagement,trend
what regions have the worst revenue,top_bottom
how's life,smalltalk
provide a brief financial summary,overview
can you give me a detailed explanation,explain
the weird stuff in the data,anomaly
can you estimate the future values,forecast
i need info on nothing,unclear
give me a brief summary,overview
what factors are highly correlated with each other?,correlation
what's the most intresting thing you've found,insights
should i carry an umbrella,unclear
include electronics,refinement
all best wishes,smalltalk
can i get a sales trend report,trend
find the odd ones out,anomaly
what's causing the spike,anomaly
i want to see the overall perfomance of the company,overview
how does quantity sold impact price,correlation
can you give me a status update?,overview
interesting facts and figures,insights
what will be the revenue in 6 months?,forecast
rank products from highest to lowest sales,top_bottom
what's the main point of the graph,explain
analyze revenue trend by season,trend
predict amount for 2026,forecast
identify the cause of the sales decline,root_cause
explain this,explain
"see you later, bye",smalltalk
annual trend of employee count,trend
what's driving the growth,root_cause
which salesperson has the most sales,top_bottom
underlying causes of the downturn,root_cause
can you write a poem,unclear
what are the categories with the lowest revenue,top_bottom
write a script for a movie,unclear
how are you,smalltalk
remove all filters,refinement
categories with bad sales,top_bottom
rank products from worst to best,top_bottom
what's the general outlook for our company,overview
"hi, whats up",smalltalk
"hi, long time no talk",smalltalk
amount has been rising - why is that,root_cause
provide a high level overview,overview
what is the history of shoes,unclear
important things to consider,insights
can you highlight something meaningful?,insights
give me a list of the top 3 accounts,top_bottom
pattern of orders over time,trend
yearly sales fluctuations,trend
how's life treating you?,smalltalk
give me the lowdown on whats happenin,insights
